KEYS,zh-Hans
Town.TownNPCMood_Demolitionist.DislikeCrowded,我不喜欢这里有这么多人，当然是出于安全考虑…
Town.TownNPCMood_Demolitionist.DislikeNPC,我想把{NPCName}绑到火箭上，看看会发生什么！
Town.TownNPCMood_Demolitionist.FarFromHome,我需要更多炸弹，我想我把它忘在家里了。
Town.TownNPCMood_Demolitionist.HateBiome,{BiomeName}散发出死亡和恶意气息，我要把它炸得稀巴烂！
Town.TownNPCMood_Demolitionist.HateCrowded,周围人太多了！只要制作雷管时出一点小差错，就会…大家都会痛恨这样的结果！
Town.TownNPCMood_Demolitionist.HateNPC,我讨厌和{NPCName}在一起。
Town.TownNPCMood_Demolitionist.LikeBiome,矮人族与生俱来就喜欢{BiomeName}，这是我们的天性！
Town.TownNPCMood_Demolitionist.LikeNPC,{NPCName}是我的好朋友，还帮我装火药！
Town.TownNPCMood_Demolitionist.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Demolitionist.LoveNPC,我欣赏{NPCName}能游刃有余地处理装有火球的容器！
Town.TownNPCMood_Demolitionist.LoveSpace,啊，附近没人 - 我可以测试新炸弹了，这次不用埋死人了！
Town.TownNPCMood_Demolitionist.NoHome,我没有地方可住，我把我最后的住处给炸了吗？
Town.TownNPCMood_Dryad.LikeNPC_Princess,{NPCName}为生活在这个世界上的每个人带来了秩序与和平。
Town.TownNPCMood_Dryad.Content,一切都很平静，可别毁了。
Town.TownNPCMood_Dryad.DislikeBiome,我很不喜欢{BiomeName}的毫无生机。
Town.TownNPCMood_Dryad.DislikeCrowded,是这片区域变得密集了，还是我的原因？我不喜欢这种感觉…
Town.TownNPCMood_Dryad.DislikeNPC,我不喜欢{NPCName}不尊重其他生物。
Town.TownNPCMood_Dryad.FarFromHome,离根远的花长得不好！
Town.TownNPCMood_Dryad.HateBiome,我被我周围的一切深深地冒犯了 - {BiomeName}是我的死敌！
Town.TownNPCMood_Dryad.HateCrowded,这么多人涌向一个地方？草地要被毁了，真讨厌！
Town.TownNPCMood_Dryad.HateNPC,我讨厌{NPCName}习惯性地破坏大自然！
Town.TownNPCMood_Dryad.LikeBiome,我亲吻了{BiomeName}的一棵树，我喜欢这种感觉。
Town.TownNPCMood_Dryad.LikeNPC,我喜欢{NPCName}能与我产生强烈共鸣的感觉！
Town.TownNPCMood_Dryad.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Dryad.LoveNPC,我非常喜欢和{NPCName}在一起。
Town.TownNPCMood_Dryad.LoveSpace,有时独处是一件好事 - 你可以获得成长的空间，还可以自由呼吸。
Town.TownNPCMood_Dryad.NoHome,我可以把整个大自然当作我的家，但有一所属于我的房子会更好。
Town.TownNPCMood_DyeTrader.LikeNPC_Princess,{NPCName}裙子上的色调是我这一生当中看过的最深邃、最生动的色调！
Town.TownNPCMood_DyeTrader.Content,我吗？我很好，我很好。
Town.TownNPCMood_DyeTrader.DislikeBiome,噢，不，{BiomeName}给不了我启发，我不喜欢这里。
Town.TownNPCMood_DyeTrader.DislikeCrowded,我真的不喜欢人群，除非他们是为了我鲜艳的色彩而来！
Town.TownNPCMood_DyeTrader.DislikeNPC,天呐，那个{NPCName}毫无颜色或风格意识，我不喜欢。
Town.TownNPCMood_DyeTrader.FarFromHome,你认为我能在离我的店这么远的地方制作出鲜艳的颜色吗？那你搞错了！
Town.TownNPCMood_DyeTrader.HateBiome,真恶心，{BiomeName}正在吸取我调色板中的颜色！
Town.TownNPCMood_DyeTrader.HateCrowded,不做生意的时候，我更喜欢一个人呆着，对吧？我讨厌挤来挤去的感觉！
Town.TownNPCMood_DyeTrader.HateNPC,{NPCName}太可恶了，令我讨厌至极。
Town.TownNPCMood_DyeTrader.LikeBiome,啊，{BiomeName}真的很好，让我想起了我的家乡，我太喜欢这里了！
Town.TownNPCMood_DyeTrader.LikeNPC,{NPCName}善于发现鲜艳的颜色和商机，对吧？我喜欢。
Town.TownNPCMood_DyeTrader.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_DyeTrader.LoveNPC,我非常喜欢和{NPCName}在一起。
Town.TownNPCMood_DyeTrader.LoveSpace,天呐，这座宫殿真安静，在这里可以享受舒坦的睡眠了！
Town.TownNPCMood_DyeTrader.NoHome,这可不行，我得有一个属于我的地方。
Town.TownNPCMood_GoblinTinkerer.LikeNPC_Princess,{NPCName}很喜欢我的发明，还说欢迎所有友好的哥布林！
Town.TownNPCMood_GoblinTinkerer.Content,现在的感觉都是不真实的。
Town.TownNPCMood_GoblinTinkerer.DislikeBiome,我不喜欢{BiomeName}，那里充满了吵闹、讨厌的害虫，会妨碍我的工作！
Town.TownNPCMood_GoblinTinkerer.DislikeCrowded,似乎有一群讨厌的人类聚集在我周围，嗯？
Town.TownNPCMood_GoblinTinkerer.DislikeNPC,我从{NPCName}身上发现了怪异之处，仿佛他们掌握了黑暗秘密。我不喜欢这种感觉。
Town.TownNPCMood_GoblinTinkerer.FarFromHome,我想研究我的新发明，但是我的房子在那边！
Town.TownNPCMood_GoblinTinkerer.HateBiome,我讨厌{BiomeName}，如果我一直保持这种状态，我就没法合并这些小饰品了！
Town.TownNPCMood_GoblinTinkerer.HateCrowded,这种拥挤让我想起了在哥布林战营的不堪往事，我真的很讨厌这种感觉。
Town.TownNPCMood_GoblinTinkerer.HateNPC,我真的讨厌{NPCName}对我的羞辱，而这只是因为男哥布林不能留长发！
Town.TownNPCMood_GoblinTinkerer.LikeBiome,啊，{BiomeName}是一个安静祥和的好地方，可以在这里制作更多工具。在这里呆一辈子也行！
Town.TownNPCMood_GoblinTinkerer.LikeNPC,{NPCName}知道把东西混在一起是多么有趣，我尊重这一点！
Town.TownNPCMood_GoblinTinkerer.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_GoblinTinkerer.LoveNPC,{NPCName}让我像失了魂似的，心神不宁，不过我喜欢这种感觉！
Town.TownNPCMood_GoblinTinkerer.LoveSpace,完美，没有了烦人的邻居，我的需求就能全部实现了。
Town.TownNPCMood_GoblinTinkerer.NoHome,哥布林一般对舒适的家没有要求，但我跟他们不一样。
Town.TownNPCMood_Golfer.LikeNPC_Princess,我本来要教给{NPCName}几个打高尔夫球的小技巧，结果她反过来教了我几招！我喜欢她。
Town.TownNPCMood_Golfer.Content,我很好！
Town.TownNPCMood_Golfer.DislikeBiome,告诉我，我要怎么在{BiomeName}这样的地方打高尔夫球？
Town.TownNPCMood_Golfer.DislikeCrowded,高尔夫是一项最好独自享受的运动。我不喜欢特立独行。
Town.TownNPCMood_Golfer.DislikeNPC,我不喜欢和{NPCName}在一起。我会感到不安。
Town.TownNPCMood_Golfer.FarFromHome,我可能偏离了轨道。这不是一个明智之举。
Town.TownNPCMood_Golfer.HateBiome,我尤其认为在{BiomeName}这样的地方闲逛是不明智的。
Town.TownNPCMood_Golfer.HateCrowded,我不想这么说，但我确实讨厌这里这么多的人流量。
Town.TownNPCMood_Golfer.HateNPC,我讨厌{NPCName}贪婪的态度。在这样的世界里，这是完全没有必要的。
Town.TownNPCMood_Golfer.LikeBiome,我喜欢{BiomeName}。这里具备打高尔夫球所需的一切条件。
Town.TownNPCMood_Golfer.LikeNPC,和{NPCName}一起出去总是很好玩。是好人没错了。
Town.TownNPCMood_Golfer.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Golfer.LoveNPC,不受欢迎的观点：我很喜欢和{NPCName}在一起。我要把我的水障碍区要回来！
Town.TownNPCMood_Golfer.LoveSpace,没有什么比拥有属于自己的空间更美好的了。
Town.TownNPCMood_Golfer.NoHome,我需要一个地方来挂我的球杆。
Town.TownNPCMood_Guide.LikeNPC_Princess,身边有{NPCName}让我感到轻松自在，就像终于摆脱了诅咒一样。
Town.TownNPCMood_Guide.Content,我感觉很好。
Town.TownNPCMood_Guide.DislikeBiome,我不太喜欢{BiomeName}。这里没什么可做的。
Town.TownNPCMood_Guide.DislikeCrowded,我有一颗自由的灵魂。我不喜欢这么多人挤在我身边。
Town.TownNPCMood_Guide.DislikeNPC,{NPCName}惹怒我了。也许是件奇怪的衣服？
Town.TownNPCMood_Guide.FarFromHome,看来我离家很远了。
Town.TownNPCMood_Guide.HateBiome,我讨厌{BiomeName}，这里的恐怖力量瞬间就能把人撕成碎片。
Town.TownNPCMood_Guide.HateCrowded,我讨厌拥挤。我更喜欢开阔的地方！
Town.TownNPCMood_Guide.HateNPC,我讨厌{NPCName}在附近。这个世界本来就是很美好的！
Town.TownNPCMood_Guide.LikeBiome,我很喜欢在{BiomeName}闲逛。我喜欢这里。
Town.TownNPCMood_Guide.LikeNPC,我很喜欢{NPCName}，我们有很多共同点。
Town.TownNPCMood_Guide.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Guide.LoveNPC,我非常喜欢和{NPCName}在一起。
Town.TownNPCMood_Guide.LoveSpace,我把这个地方留给我自己…我太喜欢它了。
Town.TownNPCMood_Guide.NoHome,我已经习惯了没有家，但我不介意有一个。
Town.TownNPCMood_Mechanic.LikeNPC_Princess,{NPCName}用短路点火的方式启动了我的一台泵，这给我留下了非常深刻的印象！
Town.TownNPCMood_Mechanic.Content,一切正常 - 噢，我吗？我很好！
Town.TownNPCMood_Mechanic.DislikeBiome,我不喜欢{BiomeName}，这里会勾起我的痛苦回忆！
Town.TownNPCMood_Mechanic.DislikeCrowded,闪烁的灯光让我心烦。电网上有负荷吗？
Town.TownNPCMood_Mechanic.DislikeNPC,我真的不喜欢{NPCName}缠着我不放！
Town.TownNPCMood_Mechanic.FarFromHome,噢，我好像超出了信号范围！嗯。
Town.TownNPCMood_Mechanic.HateBiome,在{BiomeName}，我感觉很不自在，好像总有鬼鬼祟祟的眼睛在盯着我。
Town.TownNPCMood_Mechanic.HateCrowded,我需要为这么多人提供更多的能源，我讨厌干这种事情！
Town.TownNPCMood_Mechanic.HateNPC,我讨厌{NPCName}不知道如何对待女人！
Town.TownNPCMood_Mechanic.LikeBiome,我喜欢{BiomeName}，这里的机器不会过热，能量流动效率高。
Town.TownNPCMood_Mechanic.LikeNPC,我觉得我比任何人都了解{NPCName}。
Town.TownNPCMood_Mechanic.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Mechanic.LoveNPC,嗯…{NPCName}让我心跳加速，我要去检查一下！
Town.TownNPCMood_Mechanic.LoveSpace,完美，没有人阻碍基础设施的建设。
Town.TownNPCMood_Mechanic.NoHome,我需要某种结构来让这些电线能穿过。
Town.TownNPCMood_Merchant.LikeNPC_Princess,{NPCName}可以买空我的整个店铺！和她交谈也很愉快。
Town.TownNPCMood_Merchant.Content,我感觉很成功！想买点什么吗？
Town.TownNPCMood_Merchant.DislikeBiome,嗯，{BiomeName}是一个很不适合做生意的地方，我不喜欢这里。
Town.TownNPCMood_Merchant.DislikeCrowded,这么多邻居让我有点不安。
Town.TownNPCMood_Merchant.DislikeNPC,我不喜欢{NPCName}，这个人太节俭了，从来不买我的东西。
Town.TownNPCMood_Merchant.FarFromHome,小伙子，我得回去拿我的商品！
Town.TownNPCMood_Merchant.HateBiome,我觉得我不可能把商品卖给{BiomeName}的怪物！
Town.TownNPCMood_Merchant.HateCrowded,我讨厌那么多人在这里晃悠，但没有一个人买东西！
Town.TownNPCMood_Merchant.HateNPC,{NPCName}性情乖戾，真讨人厌！
Town.TownNPCMood_Merchant.LikeBiome,我喜欢{BiomeName}的风景，美丽的风景能引来顾客！
Town.TownNPCMood_Merchant.LikeNPC,{NPCName}赚了很多钱，我喜欢有钱人。
Town.TownNPCMood_Merchant.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Merchant.LoveNPC,我非常喜欢和{NPCName}在一起。
Town.TownNPCMood_Merchant.LoveSpace,这里很好，有很多隐秘的地方来存放我的商品。
Town.TownNPCMood_Merchant.NoHome,朋友，我没有地方开店。
Town.TownNPCMood_Nurse.LikeNPC_Princess,我在检查期间不小心让{NPCName}肩膀脱臼了，她却因为给我造成不便而道歉！
Town.TownNPCMood_Nurse.Content,我的生命体征正常，如果你是问这个的话。
Town.TownNPCMood_Nurse.DislikeBiome,呃，我不喜欢{BiomeName}，这里容易让人生病。
Town.TownNPCMood_Nurse.DislikeCrowded,嘿，我不喜欢这里不保持社交距离。
Town.TownNPCMood_Nurse.DislikeNPC,我不太喜欢{NPCName}，这个人有点奇怪。
Town.TownNPCMood_Nurse.FarFromHome,我家太远了，我讨厌走路。
Town.TownNPCMood_Nurse.HateBiome,呸，{BiomeName}极其腐臭肮脏，让我觉得恶心！
Town.TownNPCMood_Nurse.HateCrowded,啊，我讨厌这么多人挤在一起，这太危险了！
Town.TownNPCMood_Nurse.HateNPC,噢，我讨厌治疗{NPCName}，太难了！
Town.TownNPCMood_Nurse.LikeBiome,我喜欢在{BiomeName}这个美丽的地方进行日常锻炼。
Town.TownNPCMood_Nurse.LikeNPC,{NPCName}是一个既聪明又可爱的傻瓜。
Town.TownNPCMood_Nurse.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Nurse.LoveNPC,什么？{NPCName}？我没有迷恋！我没有！闭嘴！
Town.TownNPCMood_Nurse.LoveSpace,这些地方太棒了，我喜欢这种私人空间。
Town.TownNPCMood_Nurse.NoHome,哼，没有自己的房子，这让我的心情很不好。
Town.TownNPCMood_Painter.LikeNPC_Princess,{NPCName}委托我在她的正殿屋顶上画壁画！
Town.TownNPCMood_Painter.Content,是的，我可能心情很好。但这和你有什么关系？
Town.TownNPCMood_Painter.DislikeBiome,我为什么不喜欢{BiomeName}？因为这里很无趣。绿色？棕色？就这些吗？
Town.TownNPCMood_Painter.DislikeCrowded,我不喜欢在我刷漆的时候这些人在边上制造噪音。
Town.TownNPCMood_Painter.DislikeNPC,{NPCName}太无趣了，我不喜欢和无趣的人打交道。
Town.TownNPCMood_Painter.FarFromHome,我需要更多油漆，但我家太远了，不是吗？
Town.TownNPCMood_Painter.HateBiome,噢，{BiomeName}太恶心了，我要离开这里！
Town.TownNPCMood_Painter.HateCrowded,我讨厌嘈杂的人群，我什么时候才能得到安宁？
Town.TownNPCMood_Painter.HateNPC,我讨厌和{NPCName}在一起。
Town.TownNPCMood_Painter.LikeBiome,在{BiomeName}，混合新油漆需要许多成分，而且好看的油漆也没有害处！
Town.TownNPCMood_Painter.LikeNPC,{NPCName}和我喜欢同样深浅的粉红色！可以说是我的朋友！
Town.TownNPCMood_Painter.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Painter.LoveNPC,我真的很想给{NPCName}刷漆…当然是因为喜欢这些鲜艳的颜色！
Town.TownNPCMood_Painter.LoveSpace,这个宁静的生活空间能让我专注于完成我的壁画。
Town.TownNPCMood_Painter.NoHome,我没有地方可住！
Town.TownNPCMood_PartyGirl.LikeNPC_Princess,是的，{NPCName}喜欢粉红色和闪闪发亮的东西，她超级喜欢派对！
Town.TownNPCMood_PartyGirl.Content,我现在心情很好！
Town.TownNPCMood_PartyGirl.DislikeBiome,呃，{BiomeName}太没劲了。你怎么会在这样的地方开派对呢？
Town.TownNPCMood_PartyGirl.DislikeCrowded,我周围有很多人，但我不喜欢他们不参加派对！
Town.TownNPCMood_PartyGirl.DislikeNPC,我觉得{NPCName}在派对上很扫兴。
Town.TownNPCMood_PartyGirl.FarFromHome,我的派对礼品，我把它们忘在家里了。噢，我家太远了！
Town.TownNPCMood_PartyGirl.HateBiome,是的，{BiomeName}简直是在毁掉我的派对氛围。
Town.TownNPCMood_PartyGirl.HateCrowded,哇，这里这么多人，我讨厌他们不是来参加派对的。
Town.TownNPCMood_PartyGirl.HateNPC,我讨厌{NPCName}总是千方百计地破坏我的庆功派对。真是让人窝火！
Town.TownNPCMood_PartyGirl.LikeBiome,我为什么喜欢{BiomeName}？因为这里有彩虹呀！
Town.TownNPCMood_PartyGirl.LikeNPC,我非常喜欢{NPCName}的派对风格。
Town.TownNPCMood_PartyGirl.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_PartyGirl.LoveNPC,我喜欢{NPCName}总是在我的派对上光彩夺目。
Town.TownNPCMood_PartyGirl.LoveSpace,这都是我的吗？我要为我自己举办一场最大的派对！
Town.TownNPCMood_PartyGirl.NoHome,我要准备开派对了，但我没有地方开庆功派对。
Town.TownNPCMood_Pirate.LikeNPC_Princess,呀，{NPCName}会在海上获得丰厚的回报...开个玩笑，她是我最喜欢的姑娘。
Town.TownNPCMood_Pirate.LoveNPC,啊嘿，旱鸭子，有俺在，别想动{NPCName}一根汗毛。俺喜欢养海豹！
Town.TownNPCMood_Pirate.Content,呀。我的状态很好！
Town.TownNPCMood_Pirate.DislikeBiome,啊，{BiomeName}对俺来说有点狭窄，真是没用！
Town.TownNPCMood_Pirate.DislikeCrowded,停船！船上的旱鸭子太多，会搅乱俺的心情。
Town.TownNPCMood_Pirate.DislikeNPC,丫知道俺不喜欢那个打俺胡子主意的{NPCName}，为绝后患，俺已经干掉了那个卑鄙的家伙！
Town.TownNPCMood_Pirate.FarFromHome,俺的床和俺的朗姆酒在呼唤俺回家。
Town.TownNPCMood_Pirate.HateBiome,啊，{BiomeName}是俺走过的最肮脏的陆地！
Town.TownNPCMood_Pirate.HateCrowded,丫也讨厌叛变来临前的感觉？俺的住处周围有太多无赖。
Town.TownNPCMood_Pirate.HateNPC,老家伙，俺要让{NPCName}跳下去！讨厌娇生惯养的人，还有那股难闻的气味！
Town.TownNPCMood_Pirate.LikeBiome,哈哈，老铁，{BiomeName}才是我真正的家！
Town.TownNPCMood_Pirate.LikeNPC,哈哈！俺喜欢{NPCName}给俺带来上等的朗姆酒。
Town.TownNPCMood_Pirate.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Pirate.NoHome,大海是我真正的家，但如果我暂时被困在陆地上…那我就需要藏身之所，伙计。
Town.TownNPCMood_Pirate.LoveSpace,伙计，这就像拥有了属于我自己的大帆船一样！
Town.TownNPCMood_Princess.Content,我忠实的臣民，一切尽在我的掌握之中！
Town.TownNPCMood_Princess.DislikeBiome,我不喜欢{BiomeName}。
Town.TownNPCMood_Princess.DislikeCrowded,与臣民比邻而居让我感到很快乐。但我能明白其他人可能觉得这没什么意思。
Town.TownNPCMood_Princess.DislikeNPC,我不讨厌{NPCName}。
Town.TownNPCMood_Princess.FarFromHome,嗯...我似乎走得有点远！你想散个步吗？
Town.TownNPCMood_Princess.HateBiome,嗯！这个地方无疑需要改造。任何人住着都不大合适，何况是皇室！
Town.TownNPCMood_Princess.HateCrowded,我非常喜欢大家围绕在我身旁，但我不希望看到他们因为过分拥挤而不满。
Town.TownNPCMood_Princess.HateLonely,嗯...我感觉有点寂寞，我能住在更靠近臣民的地方吗？
Town.TownNPCMood_Princess.HateNPC,我真的没办法憎恨{NPCName}。
Town.TownNPCMood_Princess.LikeBiome,鲜花宜人，山丘可爱，沙滩温暖。和朋友待在一起时，无处不美！
Town.TownNPCMood_Princess.LikeNPC,我喜欢{NPCName}。
Town.TownNPCMood_Princess.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Princess.LoveNPC,我非常喜欢{NPCName}。
Town.TownNPCMood_Princess.LoveNPC_Angler,{NPCName}真是个好男孩，他总是提出带我去钓鱼！
Town.TownNPCMood_Princess.LoveNPC_ArmsDealer,{NPCName}的心肠非常软！
Town.TownNPCMood_Princess.LoveNPC_BestiaryGirl,{NPCName}总是让我和她的宠物一起玩，真好！
Town.TownNPCMood_Princess.LoveNPC_Clothier,{NPCName}有时似乎很悲伤，但他对我非常好！
Town.TownNPCMood_Princess.LoveNPC_Cyborg,{NPCName}太酷了，他似乎无所不知！
Town.TownNPCMood_Princess.LoveNPC_DD2Bartender,{NPCName}来自一个完全不同的世界，真有趣！
Town.TownNPCMood_Princess.LoveNPC_Demolitionist,{NPCName}真是棒极了，嘻嘻！
Town.TownNPCMood_Princess.LoveNPC_Dryad,{NPCName}与大自然非常亲近，我很喜欢这一点！
Town.TownNPCMood_Princess.LoveNPC_DyeTrader,{NPCName}总能帮我选出颜色最棒的裙子！
Town.TownNPCMood_Princess.LoveNPC_GoblinTinkerer,{NPCName}能制作出最漂亮的小玩意！
Town.TownNPCMood_Princess.LoveNPC_Guide,{NPCName}是个很不错的家伙！
Town.TownNPCMood_Princess.LoveNPC_Mechanic,{NPCName}几乎能搞定一切，我很佩服她！
Town.TownNPCMood_Princess.LoveNPC_Merchant,{NPCName}总能为我提供需要的东西，而且分文不取！
Town.TownNPCMood_Princess.LoveNPC_Nurse,{NPCName}总能在我受到伤害时让我感觉好过些！
Town.TownNPCMood_Princess.LoveNPC_Painter,{NPCName}的确用他的艺术让这里变得亮丽生辉！
Town.TownNPCMood_Princess.LoveNPC_PartyGirl,{NPCName}总是派对上的核心人物！
Town.TownNPCMood_Princess.LoveNPC_Pirate,{NPCName}总是很擅长讲述精彩的海盗故事！
Town.TownNPCMood_Princess.LoveNPC_Princess,{NPCName}相处起来有点让人不安，但是非常可爱！
Town.TownNPCMood_Princess.LoveNPC_Steampunker,我最喜欢和{NPCName}一起喝下午茶了！
Town.TownNPCMood_Princess.LoveNPC_Stylist,{NPCName}提出的美发建议是最棒的，很高兴能与她交谈！
Town.TownNPCMood_Princess.LoveNPC_TaxCollector,{NPCName}完全被误解了，他对我非常好！
Town.TownNPCMood_Princess.LoveNPC_TownBunny,{NPCName}真的很呆萌！
Town.TownNPCMood_Princess.LoveNPC_TownCat,{NPCName}真的很呆萌！
Town.TownNPCMood_Princess.LoveNPC_TownDog,{NPCName}真的很呆萌！
Town.TownNPCMood_Princess.LoveNPC_Truffle,{NPCName}是个非常有趣的家伙！
Town.TownNPCMood_Princess.LoveNPC_WitchDoctor,{NPCName}提供了非常独到的见解，这的确引发了我的思考！
Town.TownNPCMood_Princess.LoveNPC_Wizard,{NPCName}非常明智，我完全相信他的判断！
Town.TownNPCMood_Princess.NoHome,我似乎无处可住。如果可以的话，能给我找个粉红色的住处吗？
Town.TownNPCMood_Princess.LoveNPC_Golfer,{NPCName}对高尔夫的热情激励了我！
Town.TownNPCMood_Princess.LoveNPC_SantaClaus,{NPCName}特别开心，我只是想送给他一份礼物！
Town.TownNPCMood_Princess.LoveNPC_TownSlime,{NPCName}真的很呆萌！
Town.TownNPCMood_SantaClaus.LikeNPC_Princess,嗬嗬嗬，{NPCName}无疑是头号乖乖仔。
Town.TownNPCMood_SantaClaus.Content,我很快乐！
Town.TownNPCMood_SantaClaus.DislikeBiome,我不喜欢{BiomeName}。
Town.TownNPCMood_SantaClaus.DislikeCrowded,在有精灵的情况下，我更喜欢独自行动。我不喜欢一切干扰！
Town.TownNPCMood_SantaClaus.DislikeNPC,我不喜欢和{NPCName}在一起。
Town.TownNPCMood_SantaClaus.FarFromHome,你好！我已经远离了我临时的家！
Town.TownNPCMood_SantaClaus.HateBiome,你让我陷入了{BiomeName}这么糟糕的地方，我要把你加入淘气名单。
Town.TownNPCMood_SantaClaus.HateCrowded,这里的人太多了，每个人都上了淘气名单。我讨厌扛着那袋沉甸甸的煤！
Town.TownNPCMood_SantaClaus.HateNPC,我讨厌不相信我的人。比如{NPCName}，这是我见过的最淘气的家伙！
Town.TownNPCMood_SantaClaus.LikeBiome,我喜欢{BiomeName}。
Town.TownNPCMood_SantaClaus.LikeNPC,我喜欢和{NPCName}在一起。
Town.TownNPCMood_SantaClaus.LoveBiome,我非常喜欢这里！你感到意外吗？谁认为我会不喜欢{BiomeName}？
Town.TownNPCMood_SantaClaus.LoveNPC,我非常喜欢和{NPCName}在一起。
Town.TownNPCMood_SantaClaus.LoveSpace,哈哈哈！只有我和我的精灵们，非常适合做我的远程作坊。
Town.TownNPCMood_SantaClaus.NoHome,我不能随心所欲地回到北极，哈哈哈！你能帮我找一间临时的房子吗？
Town.TownNPCMood_Steampunker.LikeNPC_Princess,快乐的{NPCName}自愿试用我的新传送机，我很喜欢充满热情的助手！
Town.TownNPCMood_Steampunker.Content,我很好。
Town.TownNPCMood_Steampunker.DislikeBiome,{BiomeName}的灌木丛和杂乱无章真的会磨坏我的齿轮！
Town.TownNPCMood_Steampunker.DislikeCrowded,我不喜欢周围很多人。
Town.TownNPCMood_Steampunker.DislikeNPC,{NPCName}太超然了！我不太喜欢他们。
Town.TownNPCMood_Steampunker.FarFromHome,我把该死的马达忘在家里了，但我家离这里很远！
Town.TownNPCMood_Steampunker.HateBiome,说真的，{BiomeName}没有开化，不堪入目，更不用说危险了！
Town.TownNPCMood_Steampunker.HateCrowded,嘿，我非常讨厌拥挤的地方！
Town.TownNPCMood_Steampunker.HateNPC,我讨厌{NPCName}在周围。
Town.TownNPCMood_Steampunker.LikeBiome,我喜欢{BiomeName}这里的开阔空间，非常适合开启喷气背包飞行之旅！
Town.TownNPCMood_Steampunker.LikeNPC,{NPCName}是个讨人喜欢的家伙，会帮我完善我的发明。
Town.TownNPCMood_Steampunker.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Steampunker.LoveNPC,{NPCName}是个性有趣又不同寻常，我太喜欢了！
Town.TownNPCMood_Steampunker.LoveSpace,给我和一些不错的蒸汽机留了很多空间！
Town.TownNPCMood_Steampunker.NoHome,我可以住在房子里了。
Town.TownNPCMood_Stylist.LikeNPC_Princess,我甚至都不敢碰{NPCName}的头发，简直太完美了！
Town.TownNPCMood_Stylist.Content,我今天精神很好。
Town.TownNPCMood_Stylist.DislikeBiome,哼，我不喜欢呆在{BiomeName}，天这么冷，怎么能秀头发呢？
Town.TownNPCMood_Stylist.DislikeCrowded,我听到的是蜘蛛的声音吗？噢，只是邻居的吵闹声，但我不喜欢这样。
Town.TownNPCMood_Stylist.DislikeNPC,我试图说服{NPCName}，但被粗鲁地拒绝了，我不喜欢固执的人！
Town.TownNPCMood_Stylist.FarFromHome,我的工具在很远的地方…
Town.TownNPCMood_Stylist.HateBiome,啊，{BiomeName}严重损伤了我的头发！
Town.TownNPCMood_Stylist.HateCrowded,我完全忍受不了这么多人住在我周围，我无法集中精力。
Town.TownNPCMood_Stylist.HateNPC,我讨厌{NPCName}，你怎么能不长头发呢？
Town.TownNPCMood_Stylist.LikeBiome,在{BiomeName}剪头发很舒服，很安静。
Town.TownNPCMood_Stylist.LikeNPC,{NPCName}强大又神秘。我喜欢。
Town.TownNPCMood_Stylist.LoveBiome,我非常喜欢{BiomeName}。
Town.TownNPCMood_Stylist.LoveNPC,{NPCName}是个大美人…浑身散发出异国风情…我想我恋爱了…
Town.TownNPCMood_Stylist.LoveSpace,真好，我可以一个人待着，不受干扰地研究我的技能。
Town.TownNPCMood_Stylist.NoHome,抱歉，伙计，没有地方站我就没法做发型。
Town.TownNPCMood_TaxCollector.LikeNPC_Princess,{NPCName}不应该交税，她可是公主...但是她坚持这么做。
Town.TownNPCMood_TaxCollector.Content,什么？我心情好得很。
Town.TownNPCMood_TaxCollector.DislikeBiome,{BiomeName}是个怎样让人讨厌的地方？胡说，让我来告诉你！
Town.TownNPCMood_TaxCollector.DislikeCrowded,我要告诉你，我不喜欢邻居！
Town.TownNPCMood_TaxCollector.DislikeNPC,{NPCName}太吵了，把他们和他们的同类都带走！
Town.TownNPCMood_TaxCollector.FarFromHome,呸！我正准备回家数钱。滚开！
Town.TownNPCMood_TaxCollector.HateBiome,即使按照我的标准，{BiomeName}也非常糟糕！呸！
Town.TownNPCMood_TaxCollector.HateCrowded,去叫那些可怜的寄生虫滚开，我讨厌人群。
Town.TownNPCMood_TaxCollector.HateNPC,我讨厌{NPCName}！什么样的疯子会把东西免费送出去？
Town.TownNPCMood_TaxCollector.LikeBiome,生活在{BiomeName}迫使人们只能待在家里，让我能独处。我喜欢这样。
Town.TownNPCMood_TaxCollector.LikeNPC,精力旺盛的人往往会让我头疼，但不知怎么的，我却喜欢{NPCName}。我一定是疯了！
Town.TownNPCMood_TaxCollector.LoveBiome,我非常喜欢{BiomeName}。
